Country,Land Year,Land Area,Population Year,Population,Coastline Length,MAT Year,MAT
Japan,2018,36450,2018,127202.192,"29,751.00",2011,11.15
Jordan,2018,8878,2018,9965.318,26,2011,18.3
Kazakhstan,2018,269970,2018,18319.618,0,2011,6.4
Kenya,2018,56914,2018,51392.565,536,2011,24.75
Kiribati,2018,81,2018,115.847,"1,143.00",2011,28.2
Kuwait,2018,1782,2018,4137.312,499,2011,25.35
Kyrgyzstan,2018,19180,2018,6304.03,0,2011,1.55
Lao People's Democratic Republic,2018,23080,2018,7061.507,0,2011,22.8
Latvia,2018,6209,2018,1928.459,498,2011,5.6
Lebanon,2018,1023,2018,6859.408,225,2011,16.4
Lesotho,2018,3036,2018,2108.328,0,2011,11.85
Liberia,2018,9632,2018,4818.973,579,2011,25.3
Libyan Arab Jamahiriya,2018,175954,2018,6678.559,"1,770.00",2011,21.8
Liechtenstein,2018,16,2018,37.91,0,2011,5.65
Lithuania,2018,6263,2018,2801.264,90,2011,6.2
Luxembourg,2018,243,2018,604.245,0,2011,8.65
Madagascar,2018,58180,2018,26262.313,"4,828.00",2011,22.65
Malawi,2018,9428,2018,18143.217,0,2011,21.9
Malaysia,2018,32855,2018,31528.033,"4,675.00",2011,25.4
Maldives,2018,30,2018,515.696,644,2011,27.65
Mali,2018,122019,2018,19077.749,0,2011,28.25
Malta,2018,32,2018,439.248,253,2011,19.2
Marshall Islands,2018,18,2018,58.413,370.4,2011,27.4
Martinique,2018,106,2018,375.673,,,
Mauritania,2018,103070,2018,4403.313,754,2011,27.65
Mauritius,2018,203,2018,1267.185,177,2011,22.4
Mayotte,2018,37.4,2018,259.531,,,
Mexico,2018,194395,2018,126190.788,"9,330.00",2011,21
"Micronesia, Federated States of",2018,70,2018,112.64,"6,112.00",2011,25.85
Monaco,2018,0.2027,2018,38.682,4.1,2011,13.55
Mongolia,2018,155725.5,2018,3170.216,0,2011,-0.7
Montenegro,2018,1345,2018,627.809,293.5,2011,10.55
Montserrat,2018,10,2018,4.993,40,,
Morocco,2018,44630,2018,36029.093,"1,835.00",2011,17.1
Mozambique,2018,78638,2018,29496.004,"2,470.00",2011,23.8
Burma,2018,65279,2018,53708.32,"1,930.00",2011,13.05
Namibia,2018,82329,2018,2448.301,"1,572.00",2011,19.95
Nauru,2018,2,2018,10.67,30,,
Nepal,2018,14335,2018,28095.714,0,2011,8.1
Netherlands,2018,3367,2018,17059.56,451,2011,9.25
New Caledonia,2018,1828,2018,277.483,,,
New Zealand,2018,26331,2018,279.993,"2,254.00",2011,22.15
Nicaragua,2018,12034,2018,4743.131,"15,134.00",2011,10.55
Niger,2018,126670,2018,6465.501,910,2011,24.9
Nigeria,2018,91077,2018,22442.822,0,2011,27.15
Niue,2018,26,2018,195874.683,853,2011,26.8
Norfolk Island,2018,4,2018,1.62,64,,
The former Yugoslav Republic of Macedonia,2018,2522,2018,2082.957,0,2011,9.8
Northern Mariana Islands,2018,46,2018,56.882,"1,482.00",2011,27.35
Norway,2018,36510.785,2018,5337.962,"83,281.00",2011,1.5
