Country for Scenarios,FAO Country,Unit,Value,,
Namibia,Namibia,1000 ha,810,,
,Nauru,1000 ha,0.4,,
Nepal,Nepal,1000 ha,2325.7,,
Netherlands,Netherlands,1000 ha,1059,,
,New Caledonia,1000 ha,9.7,,
New Zealand,New Zealand,1000 ha,558,,
Nicaragua,Nicaragua,1000 ha,1790,,
Niger,Niger,1000 ha,17818,,
Nigeria,Nigeria,1000 ha,40500,,
,Niue,1000 ha,4,,
,North Macedonia,1000 ha,459,,
,Northern Mariana Islands,1000 ha,2,,
Norway,Norway,1000 ha,806.283,,
Oman,Oman,1000 ha,108.89,,
Pakistan,Pakistan,1000 ha,31300,,
Palau,Palau,1000 ha,2.3,,
,Palestine,1000 ha,186,,
Panama,Panama,1000 ha,750,,
Papua New Guinea,Papua New Guinea,1000 ha,1000,,
Paraguay,Paraguay,1000 ha,4819,,
Peru,Peru,1000 ha,4808.7,,
Philippines,Philippines,1000 ha,10940,,
Poland,Poland,1000 ha,11362,,
Portugal,Portugal,1000 ha,1698.14,,
,Puerto Rico,1000 ha,66.2,,
Qatar,Qatar,1000 ha,17,,
,Republic of Korea,1000 ha,1596,,
Republic of Moldova,Republic of Moldova,1000 ha,1916,,
,Réunion,1000 ha,37.28,,
Romania,Romania,1000 ha,9126,,
Russia,Russian Federation,1000 ha,123442,,
Rwanda,Rwanda,1000 ha,1401.7,,
,"Saint Helena, Ascension and Tristan da Cunha",1000 ha,4,,
Saint Kitts and Nevis,Saint Kitts and Nevis,1000 ha,5.1,,
Saint Lucia,Saint Lucia,1000 ha,10,,
,Saint Pierre and Miquelon,1000 ha,2,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1000 ha,5,,
Samoa,Samoa,1000 ha,63.6,,
San Marino,San Marino,1000 ha,2.3,,
,Sao Tome and Principe,1000 ha,43,,
Saudi Arabia,Saudi Arabia,1000 ha,3629,,
Senegal,Senegal,1000 ha,3278,,
Serbia,Serbia,1000 ha,2788,,
Seychelles,Seychelles,1000 ha,1.55,,
Sierra Leone,Sierra Leone,1000 ha,1749,,
Singapore,Singapore,1000 ha,0.66,,
Slovakia,Slovakia,1000 ha,1365,,
Slovenia,Slovenia,1000 ha,235.75,,
Solomon Islands,Solomon Islands,1000 ha,109,,
Somalia,Somalia,1000 ha,1125,,
South Africa,South Africa,1000 ha,12413,,
South Sudan,South Sudan,1000 ha,2760,,
Spain,Spain,1000 ha,16770.3639,,
Sri Lanka,Sri Lanka,1000 ha,2371.6,,
Sudan,Sudan,1000 ha,19991.16,,
Suriname,Suriname,1000 ha,68,,
Swaziland,,,,,Eswitini
Sweden,Sweden,1000 ha,2554,,
Switzerland,Switzerland,1000 ha,423.3604,,
Syrian Arab Republic,Syrian Arab Republic,1000 ha,5733,,
Tajikistan,Tajikistan,1000 ha,852.7,,
Thailand,Thailand,1000 ha,21310,,
The former Yugoslav Republic of Macedonia,,,,,North Macedonia
Timor-Leste,Timor-Leste,1000 ha,230,,
Togo,Togo,1000 ha,2820,,
,Tokelau,1000 ha,0.6,,
Tonga,Tonga,1000 ha,31,,
Trinidad and Tobago,Trinidad and Tobago,1000 ha,47,,
Tunisia,Tunisia,1000 ha,4993,,
Turkey,Turkey,1000 ha,23185,,
Turkmenistan,Turkmenistan,1000 ha,2000,,
,Turks and Caicos Islands,1000 ha,1,,
,Tuvalu,1000 ha,1.8,,
Uganda,Uganda,1000 ha,9100,,
Ukraine,Ukraine,1000 ha,33751,,
United Arab Emirates,United Arab Emirates,1000 ha,81.75,,
United Kingdom,United Kingdom of Great Britain and Northern Ireland,1000 ha,6083.953,,
United Republic of Tanzania,United Republic of Tanzania,1000 ha,15650,,
United States,United States of America,1000 ha,160436.8,,
,United States Virgin Islands,1000 ha,2,,
Uruguay,Uruguay,1000 ha,2015.9,,
Uzbekistan,Uzbekistan,1000 ha,4462.5,,
Vanuatu,Vanuatu,1000 ha,145,,
Venezuela,Venezuela (Bolivarian Republic of),1000 ha,3300,,
Viet Nam,Viet Nam,1000 ha,11526.8,,
,Wallis and Futuna Islands,1000 ha,6,,
,Western Sahara,1000 ha,4,,
Yemen,Yemen,1000 ha,1387.7,,
Zambia,Zambia,1000 ha,3836,,
Zimbabwe,Zimbabwe,1000 ha,4100,,
