Scenarios Country,FAO Country,Unit,Value
Rwanda,Rwanda,tonnes of N,4334.06
Saint Kitts and Nevis,Saint Kitts and Nevis,tonnes of N,12.55
Saint Lucia,Saint Lucia,tonnes of N,132.15
Saint Vincent and the Grenadines,,,
Samoa,Samoa,tonnes of N,10.22
San Marino,,,
Saudi Arabia,Saudi Arabia,tonnes of N,173300
Senegal,Senegal,tonnes of N,37000
Serbia,Serbia,tonnes of N,116157.17
Seychelles,Seychelles,tonnes of N,46.75
Sierra Leone,,,
Singapore,Singapore,tonnes of N,0
Slovakia,Slovakia,tonnes of N,128976.88
Slovenia,Slovenia,tonnes of N,27293
Solomon Islands,,,
Somalia,,,
South Africa,South Africa,tonnes of N,470000
South Sudan,,,
Spain,Spain,tonnes of N,1033494
Sri Lanka,Sri Lanka,tonnes of N,68829.65
Sudan,Sudan,tonnes of N,163066.71
Suriname,Suriname,tonnes of N,6981.15
Swaziland,,,
Sweden,Sweden,tonnes of N,184187
Switzerland,Switzerland,tonnes of N,44549.56
Syrian Arab Republic,Syrian Arab Republic,tonnes of N,5408.25
Tajikistan,Tajikistan,tonnes of N,7937.29
Thailand,Thailand,tonnes of N,1515920.78
The former Yugoslav Republic of Macedonia,,,
Timor-Leste,,,
Togo,Togo,tonnes of N,4270.16
Tonga,Tonga,tonnes of N,63.57
Trinidad and Tobago,Trinidad and Tobago,tonnes of N,6500
Tunisia,Tunisia,tonnes of N,71800
Turkey,Turkey,tonnes of N,1527588
Turkmenistan,,,
Uganda,Uganda,tonnes of N,11209
Ukraine,Ukraine,tonnes of N,1404913
United Arab Emirates,United Arab Emirates,tonnes of N,15146.37
United Kingdom,United Kingdom of Great Britain and Northern Ireland,tonnes of N,1033000
United Republic of Tanzania,United Republic of Tanzania,tonnes of N,141758.26
United States,United States of America,tonnes of N,11644461.03
Uruguay,Uruguay,tonnes of N,172963.03
Uzbekistan,Uzbekistan,tonnes of N,721316
Vanuatu,,,
Venezuela,Venezuela (Bolivarian Republic of),tonnes of N,260600
Viet Nam,Viet Nam,tonnes of N,1572827.28
Yemen,Yemen,tonnes of N,3622.24
Zambia,Zambia,tonnes of N,147985.74
Zimbabwe,Zimbabwe,tonnes of N,65000
