Country for Scenarios,FAO Country,Unit,Value,,
Niger,Niger,1000 ha,28782,,
Nigeria,Nigeria,1000 ha,28623.45,,
,Niue,1000 ha,1,,
,Norfolk Island,1000 ha,1,,
,North Macedonia,1000 ha,805,,
,Northern Mariana Islands,1000 ha,1,,
Norway,Norway,1000 ha,180.014,,
Oman,Oman,1000 ha,1350,,
Pakistan,Pakistan,1000 ha,5000,,
Palau,Palau,1000 ha,2,,
,Palestine,1000 ha,277,,
Panama,Panama,1000 ha,1509,,
Papua New Guinea,Papua New Guinea,1000 ha,190,,
Paraguay,Paraguay,1000 ha,17000,,
Peru,Peru,1000 ha,18800,,
Philippines,Philippines,1000 ha,1500,,
Poland,Poland,1000 ha,3150,,
Portugal,Portugal,1000 ha,1875.85,,
,Puerto Rico,1000 ha,102.7,,Put in US?
Qatar,Qatar,1000 ha,50,,
Republic of Moldova,Republic of Moldova,1000 ha,341.1,,
,Réunion,1000 ha,10.82,,
Romania,Romania,1000 ha,4288,,
Russia,Russian Federation,1000 ha,92052,,
Rwanda,Rwanda,1000 ha,410,,
,"Saint Helena, Ascension and Tristan da Cunha",1000 ha,8,,
Saint Kitts and Nevis,Saint Kitts and Nevis,1000 ha,0.9,,
Saint Lucia,Saint Lucia,1000 ha,0.6,,
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,1000 ha,2,,
Samoa,Samoa,1000 ha,12.1,,
San Marino,,,,,Small
,Sao Tome and Principe,1000 ha,1,,
Saudi Arabia,Saudi Arabia,1000 ha,170000,,
Senegal,Senegal,1000 ha,5600,,
Serbia,Serbia,1000 ha,676,,
Seychelles,,,,,Small Island
Sierra Leone,Sierra Leone,1000 ha,2200,,
Singapore,,,,,Small
Slovakia,Slovakia,1000 ha,524,,
Slovenia,Slovenia,1000 ha,376.26,,
Solomon Islands,Solomon Islands,1000 ha,8,,
Somalia,Somalia,1000 ha,43000,,
South Africa,South Africa,1000 ha,83928,,
South Sudan,South Sudan,1000 ha,25773.2,,
Spain,Spain,1000 ha,9412.96,,
Sri Lanka,Sri Lanka,1000 ha,440,,
Sudan,Sudan,1000 ha,48195,,
Suriname,Suriname,1000 ha,16,,
Swaziland,,,,,Eswatini
Sweden,Sweden,1000 ha,455,,
Switzerland,Switzerland,1000 ha,1086.7152,,
Syrian Arab Republic,Syrian Arab Republic,1000 ha,8188,,
Tajikistan,Tajikistan,1000 ha,3875,,
Thailand,Thailand,1000 ha,800,,
The former Yugoslav Republic of Macedonia,,,,,
Timor-Leste,Timor-Leste,1000 ha,150,,
Togo,Togo,1000 ha,1000,,
Tonga,Tonga,1000 ha,4,,
Trinidad and Tobago,Trinidad and Tobago,1000 ha,7,,
Tunisia,Tunisia,1000 ha,4750,,
Turkey,Turkey,1000 ha,14617,,
Turkmenistan,Turkmenistan,1000 ha,31838,,
Uganda,Uganda,1000 ha,5315,,
Ukraine,Ukraine,1000 ha,7577,,
United Arab Emirates,United Arab Emirates,1000 ha,300,,
United Kingdom,United Kingdom of Great Britain and Northern Ireland,1000 ha,11266.9086,,
United Republic of Tanzania,United Republic of Tanzania,1000 ha,24000,,
United States,United States of America,1000 ha,245373.5538,,
,United States Virgin Islands,1000 ha,2,,Put in US?
Uruguay,Uruguay,1000 ha,12000,,
Uzbekistan,Uzbekistan,1000 ha,21115.2,,
Vanuatu,Vanuatu,1000 ha,42,,
Venezuela,Venezuela (Bolivarian Republic of),1000 ha,18200,,
Viet Nam,Viet Nam,1000 ha,642,,
,Western Sahara,1000 ha,5000,,Maybe Morocco
Yemen,Yemen,1000 ha,22000,,
Zambia,Zambia,1000 ha,20000,,
Zimbabwe,Zimbabwe,1000 ha,12100,,
,,,,,
