Country,ISO3,NBS_desc,Griscom 2017 potential,Griscom 2020 potential,GRISCOM DIFF,TNC mapper potential,IPCC_climate_zone,baseline_landuse,country_land_area,total_area,total_area_max,total_area_min,extent,extent_max,extent_min,extent_notes,intensity_desc,intensity_raw,intensity_raw_max,intensity_raw_min,intensity_unit,intensity,intensity_max,intensity_min,intensity_notes,BD_potential,potential,potential_100,potential_10
Afghanistan,AFG,Agroforestry,,,,0.06,,GRISCOM,65.286,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.06,0.025326,0
Albania,ALB,Agroforestry,,,,0.85,,GRISCOM,2.74,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.85,0.358785,0
Algeria,DZA,Agroforestry,,,,10.06,,GRISCOM,238.1741,NA,,,NA,,,,,,,,,1.356666667,,,,0,10.06,4.246326,0
Andorra,AND,Agroforestry,,,,0,,GRISCOM,0.047,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Angola,AGO,Agroforestry,,21.77,,2.77,,GRISCOM,124.67,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.77,1.169217,0
Antigua and Barbuda,ATG,Agroforestry,,,,0,,GRISCOM,0.044,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Argentina,ARG,Agroforestry,,,,77.78,,GRISCOM,273.669,NA,,,NA,,,,,,,,,1.356666667,,,,0,77.78,32.830938,0
Armenia,ARM,Agroforestry,,,,1.9,,GRISCOM,2.847,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.9,0.80199,0
Australia,AUS,Agroforestry,,,,86.28,,GRISCOM,769.202,NA,,,NA,,,,,,,,,1.356666667,,,,0,86.28,36.418788,0
Austria,AUT,Agroforestry,,,,3.06,,GRISCOM,8.252,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.06,1.291626,0
Azerbaijan,AZE,Agroforestry,,,,1.49,,GRISCOM,8.2654,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.49,0.628929,0
Bahamas,BHS,Agroforestry,,,,0.14,,GRISCOM,1.001,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.14,0.059094,0
Bahrain,BHR,Agroforestry,,,,0,,GRISCOM,0.078,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Bangladesh,BGD,Agroforestry,,2,,10.13,,GRISCOM,13.017,NA,,,NA,,,,,,,,,1.356666667,,,,0,10.13,4.275873,0
Barbados,BRB,Agroforestry,,,,0,,GRISCOM,0.043,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Belarus,BLR,Agroforestry,,,,12.74,,GRISCOM,20.298,NA,,,NA,,,,,,,,,1.356666667,,,,0,12.74,5.377554,0
Belgium,BEL,Agroforestry,,,,1.96,,GRISCOM,3.028,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.96,0.827316,0
Belize,BLZ,Agroforestry,,0.13,,0.15,,GRISCOM,2.281,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.15,0.063315,0
Benin,BEN,Agroforestry,,1.64,,1.5,,GRISCOM,11.276,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.5,0.63315,0
Bhutan,BTN,Agroforestry,,,,0.05,,GRISCOM,3.814,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.05,0.021105,0
Bolivia,BOL,Agroforestry,,33.11,,2.96,,GRISCOM,108.33,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.96,1.249416,0
Bosnia and Herzegovina,BIH,Agroforestry,,,,1.89,,GRISCOM,5.12,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.89,0.797769,0
Botswana,BWA,Agroforestry,,33.41,,1.45,,GRISCOM,56.673,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.45,0.612045,0
Brazil,BRA,Agroforestry,,340.87,,176.6,,GRISCOM,835.814,NA,,,NA,,,,,,,,,1.356666667,,,,0,176.6,74.54286,0
Brunei Darussalam,BRN,Agroforestry,,,,0.02,,GRISCOM,0.527,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.02,0.008442,0
Bulgaria,BGR,Agroforestry,,,,7.2,,GRISCOM,10.856,NA,,,NA,,,,,,,,,1.356666667,,,,0,7.2,3.03912,0
Burkina Faso,BFA,Agroforestry,,16.81,,7.25,,GRISCOM,27.36,NA,,,NA,,,,,,,,,1.356666667,,,,0,7.25,3.060225,0
Burma,MMR,Agroforestry,,17.56,,15.59,,GRISCOM,65.279,NA,,,NA,,,,,,,,,1.356666667,,,,0,15.59,6.580539,0
Burundi,BDI,Agroforestry,,0.12,,0.06,,GRISCOM,2.568,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.06,0.025326,0
Cambodia,KHM,Agroforestry,,17.83,,7.46,,GRISCOM,17.652,NA,,,NA,,,,,,,,,1.356666667,,,,0,7.46,3.148866,0
Cameroon,CMR,Agroforestry,,13.87,,3.6,,GRISCOM,47.271,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.6,1.51956,0
Canada,CAN,Agroforestry,,,,52.18,,GRISCOM,896.559,NA,,,NA,,,,,,,,,1.356666667,,,,0,52.18,22.025178,0
Cape Verde,CPV,Agroforestry,,,,0,,GRISCOM,0.403,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Central African Republic,CAF,Agroforestry,,1.14,,0.07,,GRISCOM,62.298,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.07,0.029547,0
Chad,TCD,Agroforestry,,114.07,,4.92,,GRISCOM,125.92,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.92,2.076732,0
Chile,CHL,Agroforestry,,,,4.87,,GRISCOM,74.3532,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.87,2.055627,0
China,CHN,Agroforestry,,,,184.83,,GRISCOM,938.821,NA,,,NA,,,,,,,,,1.356666667,,,,0,184.83,78.016743,0
Colombia,COL,Agroforestry,,40.27,,6.17,,GRISCOM,110.95,NA,,,NA,,,,,,,,,1.356666667,,,,0,6.17,2.604357,0
Comoros,COM,Agroforestry,,,,0,,GRISCOM,0.1861,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Congo,COG,Agroforestry,,0.23,,0.01,,GRISCOM,34.15,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.01,0.004221,0
Cook Islands,COK,Agroforestry,,,,0,,GRISCOM,0.024,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Costa Rica,CRI,Agroforestry,,1.12,,0.86,,GRISCOM,5.106,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.86,0.363006,0
Cote d'Ivoire,CIV,Agroforestry,,1.38,,0.66,,GRISCOM,31.8,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.66,0.278586,0
Croatia,HRV,Agroforestry,,,,2.62,,GRISCOM,5.659,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.62,1.105902,0
Cuba,CUB,Agroforestry,,6.99,,5.13,,GRISCOM,10.38,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.13,2.165373,0
Cyprus,CYP,Agroforestry,,,,0.33,,GRISCOM,0.924,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.33,0.139293,0
Czech Republic,CZE,Agroforestry,,,,5.5,,GRISCOM,7.72,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.5,2.32155,0
Democratic Republic of the Congo,COD,Agroforestry,,0.42,,0.25,,GRISCOM,226.705,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.25,0.105525,0
Denmark,DNK,Agroforestry,,,,3.51,,GRISCOM,4,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.51,1.481571,0
Djibouti,DJI,Agroforestry,,,,0,,GRISCOM,2.318,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Dominica,DMA,Agroforestry,,,,0,,GRISCOM,0.075,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Dominican Republic,DOM,Agroforestry,,2.39,,1.72,,GRISCOM,4.831,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.72,0.726012,0
Ecuador,ECU,Agroforestry,,2.35,,1.59,,GRISCOM,24.836,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.59,0.671139,0
Egypt,EGY,Agroforestry,,,,3.02,,GRISCOM,99.545,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.02,1.274742,0
El Salvador,SLV,Agroforestry,,0.95,,0.87,,GRISCOM,2.072,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.87,0.367227,0
Equatorial Guinea,GNQ,Agroforestry,,0,,0,,GRISCOM,2.805,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Eritrea,ERI,Agroforestry,,0,,0.24,,GRISCOM,10.1,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.24,0.101304,0
Estonia,EST,Agroforestry,,,,1.62,,GRISCOM,4.347,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.62,0.683802,0
Ethiopia,ETH,Agroforestry,,0.04,,3.75,,GRISCOM,112.930039,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.75,1.582875,0
Fiji,FJI,Agroforestry,,,,0,,GRISCOM,1.827,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Finland,FIN,Agroforestry,,,,0.97,,GRISCOM,30.392,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.97,0.409437,0
France,FRA,Agroforestry,,,,37.17,,GRISCOM,54.7557,NA,,,NA,,,,,,,,,1.356666667,,,,0,37.17,15.689457,0
French Guiana,GUF,Agroforestry,,0.01,,0,,GRISCOM,#N/A,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Gabon,GAB,Agroforestry,,0.27,,0,,GRISCOM,25.767,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Gambia,GMB,Agroforestry,,0,,0,,GRISCOM,1.012,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Georgia,GEO,Agroforestry,,,,1.89,,GRISCOM,6.949,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.89,0.797769,0
Germany,DEU,Agroforestry,,,,22.8,,GRISCOM,34.938,NA,,,NA,,,,,,,,,1.356666667,,,,0,22.8,9.62388,0
Ghana,GHA,Agroforestry,,6.02,,2.71,,GRISCOM,22.754,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.71,1.143891,0
Greece,GRC,Agroforestry,,,,5.35,,GRISCOM,12.89,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.35,2.258235,0
Greenland,GRL,Agroforestry,,,,0,,GRISCOM,41.045,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Grenada,GRD,Agroforestry,,,,0,,GRISCOM,0.034,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Guatemala,GTM,Agroforestry,,1.67,,2.3,,GRISCOM,10.716,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.3,0.97083,0
Guinea,GIN,Agroforestry,,0.78,,0.22,,GRISCOM,24.572,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.22,0.092862,0
Guinea-Bissau,GNB,Agroforestry,,0,,0.03,,GRISCOM,2.812,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.03,0.012663,0
Guyana,GUY,Agroforestry,,1.91,,0.14,,GRISCOM,19.685,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.14,0.059094,0
Haiti,HTI,Agroforestry,,1.7,,1.24,,GRISCOM,2.756,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.24,0.523404,0
Honduras,HND,Agroforestry,,1.59,,1.91,,GRISCOM,11.189,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.91,0.806211,0
Hungary,HUN,Agroforestry,,,,8.77,,GRISCOM,9.126,NA,,,NA,,,,,,,,,1.356666667,,,,0,8.77,3.701817,0
Iceland,ISL,Agroforestry,,,,0,,GRISCOM,10.083,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
India,IND,Agroforestry,,175.6,,152.37,,GRISCOM,297.319,NA,,,NA,,,,,,,,,1.356666667,,,,0,152.37,64.315377,0
Indonesia,IDN,Agroforestry,,12.43,,14.34,,GRISCOM,187.7519,NA,,,NA,,,,,,,,,1.356666667,,,,0,14.34,6.052914,0
Iran (Islamic Republic of),IRN,Agroforestry,,,,26.82,,GRISCOM,162.876,NA,,,NA,,,,,,,,,1.356666667,,,,0,26.82,11.320722,0
Iraq,IRQ,Agroforestry,,,,7.62,,GRISCOM,43.4128,NA,,,NA,,,,,,,,,1.356666667,,,,0,7.62,3.216402,0
Ireland,IRL,Agroforestry,,,,4.84,,GRISCOM,6.889,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.84,2.042964,0
Israel,ISR,Agroforestry,,,,0.7,,GRISCOM,2.164,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.7,0.29547,0
Italy,ITA,Agroforestry,,,,20.63,,GRISCOM,29.773,NA,,,NA,,,,,,,,,1.356666667,,,,0,20.63,8.707923,0
Jamaica,JAM,Agroforestry,,0.19,,0.21,,GRISCOM,1.083,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.21,0.088641,0
Japan,JPN,Agroforestry,,,,3.98,,GRISCOM,36.45,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.98,1.679958,0
Jordan,JOR,Agroforestry,,,,0.55,,GRISCOM,8.878,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.55,0.232155,0
Kazakhstan,KAZ,Agroforestry,,,,70.54,,GRISCOM,269.97,NA,,,NA,,,,,,,,,1.356666667,,,,0,70.54,29.774934,0
Kenya,KEN,Agroforestry,,69.24,,4.58,,GRISCOM,56.914,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.58,1.933218,0
Kiribati,KIR,Agroforestry,,,,0,,GRISCOM,0.081,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
"Korea, Democratic People's Republic of",PRK,Agroforestry,,,,3.97,,GRISCOM,12.041,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.97,1.675737,0
"Korea, Republic of",KOR,Agroforestry,,,,1.77,,GRISCOM,9.752,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.77,0.747117,0
Kuwait,KWT,Agroforestry,,,,0,,GRISCOM,1.782,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Kyrgyzstan,KGZ,Agroforestry,,,,2.09,,GRISCOM,19.18,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.09,0.882189,0
Lao People's Democratic Republic,LAO,Agroforestry,,1.56,,2.33,,GRISCOM,23.08,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.33,0.983493,0
Latvia,LVA,Agroforestry,,,,3.08,,GRISCOM,6.209,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.08,1.300068,0
Lebanon,LBN,Agroforestry,,,,0.29,,GRISCOM,1.023,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.29,0.122409,0
Lesotho,LSO,Agroforestry,,,,0.3,,GRISCOM,3.036,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.3,0.12663,0
Liberia,LBR,Agroforestry,,0,,0,,GRISCOM,9.632,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Libyan Arab Jamahiriya,LBY,Agroforestry,,,,1.91,,GRISCOM,175.954,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.91,0.806211,0
Liechtenstein,LIE,Agroforestry,,,,0,,GRISCOM,0.016,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Lithuania,LTU,Agroforestry,,,,4.85,,GRISCOM,6.263,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.85,2.047185,0
Luxembourg,LUX,Agroforestry,,,,0.16,,GRISCOM,0.243,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.16,0.067536,0
Madagascar,MDG,Agroforestry,,30,,0.75,,GRISCOM,58.18,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.75,0.316575,0
Malawi,MWI,Agroforestry,,1.45,,2.17,,GRISCOM,9.428,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.17,0.915957,0
Malaysia,MYS,Agroforestry,,1.59,,2.04,,GRISCOM,32.855,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.04,0.861084,0
Maldives,MDV,Agroforestry,,,,0,,GRISCOM,0.03,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Mali,MLI,Agroforestry,,6.84,,12.92,,GRISCOM,122.019,NA,,,NA,,,,,,,,,1.356666667,,,,0,12.92,5.453532,0
Malta,MLT,Agroforestry,,,,0,,GRISCOM,0.032,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Marshall Islands,MHL,Agroforestry,,,,0,,GRISCOM,0.018,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Mauritania,MRT,Agroforestry,,33.35,,0.12,,GRISCOM,103.07,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.12,0.050652,0
Mauritius,MUS,Agroforestry,,,,0,,GRISCOM,0.203,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Mexico,MEX,Agroforestry,,47.48,,25.65,,GRISCOM,194.395,NA,,,NA,,,,,,,,,1.356666667,,,,0,25.65,10.826865,0
"Micronesia, Federated States of",FSM,Agroforestry,,,,0,,GRISCOM,0.07,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Monaco,MCO,Agroforestry,,,,0,,GRISCOM,0.0002027,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Mongolia,MNG,Agroforestry,,,,1.1,,GRISCOM,155.7255,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.1,0.46431,0
Montenegro,MNE,Agroforestry,,,,0.22,,GRISCOM,1.345,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.22,0.092862,0
Morocco,MAR,Agroforestry,,,,10.67,,GRISCOM,44.63,NA,,,NA,,,,,,,,,1.356666667,,,,0,10.67,4.503807,0
Mozambique,MOZ,Agroforestry,,9.4,,1.63,,GRISCOM,78.638,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.63,0.688023,0
Namibia,NAM,Agroforestry,,35.86,,1.11,,GRISCOM,82.329,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.11,0.468531,0
Nepal,NPL,Agroforestry,,,,2.52,,GRISCOM,14.335,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.52,1.063692,0
Netherlands,NLD,Agroforestry,,,,2.56,,GRISCOM,3.367,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.56,1.080576,0
New Zealand,NZL,Agroforestry,,,,8.99,,GRISCOM,26.331,NA,,,NA,,,,,,,,,1.356666667,,,,0,8.99,3.794679,0
Nicaragua,NIC,Agroforestry,,4.69,,2.7,,GRISCOM,12.034,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.7,1.13967,0
Niger,NER,Agroforestry,,70.18,,9.57,,GRISCOM,126.67,NA,,,NA,,,,,,,,,1.356666667,,,,0,9.57,4.039497,0
Nigeria,NGA,Agroforestry,,45.38,,31.25,,GRISCOM,91.077,NA,,,NA,,,,,,,,,1.356666667,,,,0,31.25,13.190625,0
Norway,NOR,Agroforestry,,,,0.42,,GRISCOM,36.510785,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.42,0.177282,0
Oman,OMN,Agroforestry,,,,0.07,,GRISCOM,30.95,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.07,0.029547,0
Pakistan,PAK,Agroforestry,,,,1.11,,GRISCOM,77.088,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.11,0.468531,0
Palau,PLW,Agroforestry,,,,0,,GRISCOM,0.046,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Panama,PAN,Agroforestry,,1.27,,1.31,,GRISCOM,7.4177,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.31,0.552951,0
Papua New Guinea,PNG,Agroforestry,,0.79,,0.16,,GRISCOM,45.286,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.16,0.067536,0
Paraguay,PRY,Agroforestry,,29.99,,7.86,,GRISCOM,39.73,NA,,,NA,,,,,,,,,1.356666667,,,,0,7.86,3.317706,0
Peru,PER,Agroforestry,,5.53,,0.95,,GRISCOM,128,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.95,0.400995,0
Philippines,PHL,Agroforestry,,7.39,,5.4,,GRISCOM,29.817,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.4,2.27934,0
Poland,POL,Agroforestry,,,,23.14,,GRISCOM,30.617,NA,,,NA,,,,,,,,,1.356666667,,,,0,23.14,9.767394,0
Portugal,PRT,Agroforestry,,,,5.87,,GRISCOM,9.16056,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.87,2.477727,0
Qatar,QAT,Agroforestry,,,,0,,GRISCOM,1.149,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Republic of Moldova,MDA,Agroforestry,,,,3.46,,GRISCOM,3.28853,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.46,1.460466,0
Romania,ROU,Agroforestry,,,,16.52,,GRISCOM,23.008,NA,,,NA,,,,,,,,,1.356666667,,,,0,16.52,6.973092,0
Russia,RUS,Agroforestry,,,,191.58,,GRISCOM,1637.687,NA,,,NA,,,,,,,,,1.356666667,,,,0,191.58,80.865918,0
Rwanda,RWA,Agroforestry,,0.18,,0.13,,GRISCOM,2.467,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.13,0.054873,0
Saint Kitts and Nevis,KNA,Agroforestry,,,,0,,GRISCOM,0.026,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Saint Lucia,LCA,Agroforestry,,,,0,,GRISCOM,0.061,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Saint Vincent and the Grenadines,VCT,Agroforestry,,,,0,,GRISCOM,0.039,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Samoa,WSM,Agroforestry,,,,0,,GRISCOM,0.283,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
San Marino,SMR,Agroforestry,,,,0,,GRISCOM,0.006,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Saudi Arabia,SAU,Agroforestry,,0.24,,0.04,,GRISCOM,214.969,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.04,0.016884,0
Senegal,SEN,Agroforestry,,0,,4.72,,GRISCOM,19.253,NA,,,NA,,,,,,,,,1.356666667,,,,0,4.72,1.992312,0
Serbia,SRB,Agroforestry,,,,5.29,,GRISCOM,8.746,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.29,2.232909,0
Seychelles,SYC,Agroforestry,,,,0,,GRISCOM,0.046,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Sierra Leone,SLE,Agroforestry,,0,,0,,GRISCOM,7.218,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Singapore,SGP,Agroforestry,,,,0,,GRISCOM,0.0709,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Slovakia,SVK,Agroforestry,,,,2.89,,GRISCOM,4.808,NA,,,NA,,,,,,,,,1.356666667,,,,0,2.89,1.219869,0
Slovenia,SVN,Agroforestry,,,,0.72,,GRISCOM,2.01364,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.72,0.303912,0
Solomon Islands,SLB,Agroforestry,,0,,0,,GRISCOM,2.799,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Somalia,SOM,Agroforestry,,107.32,,1.92,,GRISCOM,62.734,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.92,0.810432,0
South Africa,ZAF,Agroforestry,,,,6.22,,GRISCOM,121.309,NA,,,NA,,,,,,,,,1.356666667,,,,0,6.22,2.625462,0
South Sudan,SSD,Agroforestry,,,,0.82,,GRISCOM,63.1928123,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.82,0.346122,0
Spain,ESP,Agroforestry,,,,37.68,,GRISCOM,49.9603479,NA,,,NA,,,,,,,,,1.356666667,,,,0,37.68,15.904728,0
Sri Lanka,LKA,Agroforestry,,1.82,,1.38,,GRISCOM,6.1864,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.38,0.582498,0
Sudan,SDN,Agroforestry,,234.92,,26.35,,GRISCOM,184.9233715,NA,,,NA,,,,,,,,,1.356666667,,,,0,26.35,11.122335,0
Suriname,SUR,Agroforestry,,0.15,,0.02,,GRISCOM,15.6,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.02,0.008442,0
Swaziland,SWZ,Agroforestry,,,,0.12,,GRISCOM,1.72,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.12,0.050652,0
Sweden,SWE,Agroforestry,,,,3.03,,GRISCOM,40.731,NA,,,NA,,,,,,,,,1.356666667,,,,0,3.03,1.278963,0
Switzerland,CHE,Agroforestry,,,,1.4,,GRISCOM,3.951603,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.4,0.59094,0
Syrian Arab Republic,SYR,Agroforestry,,,,8.22,,GRISCOM,18.363,NA,,,NA,,,,,,,,,1.356666667,,,,0,8.22,3.469662,0
Tajikistan,TJK,Agroforestry,,,,1.28,,GRISCOM,13.879,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.28,0.540288,0
Thailand,THA,Agroforestry,,32.8,,27.94,,GRISCOM,51.089,NA,,,NA,,,,,,,,,1.356666667,,,,0,27.94,11.793474,0
The former Yugoslav Republic of Macedonia,MKD,Agroforestry,,,,1.13,,GRISCOM,2.522,NA,,,NA,,,,,,,,,1.356666667,,,,0,1.13,0.476973,0
Timor-Leste,TLS,Agroforestry,,0.46,,0.46,,GRISCOM,1.487,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.46,0.194166,0
Togo,TGO,Agroforestry,,1.08,,0.83,,GRISCOM,5.439,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.83,0.350343,0
Tonga,TON,Agroforestry,,,,0,,GRISCOM,0.072,NA,,,NA,,,,,,,,,1.356666667,,,,0,0,0,0
Trinidad and Tobago,TTO,Agroforestry,,0.06,,0.01,,GRISCOM,0.513,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.01,0.004221,0
Tunisia,TUN,Agroforestry,,,,5.97,,GRISCOM,15.536,NA,,,NA,,,,,,,,,1.356666667,,,,0,5.97,2.519937,0
Turkey,TUR,Agroforestry,,,,43.32,,GRISCOM,76.963,NA,,,NA,,,,,,,,,1.356666667,,,,0,43.32,18.285372,0
Turkmenistan,TKM,Agroforestry,,,,0.04,,GRISCOM,46.993,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.04,0.016884,0
Uganda,UGA,Agroforestry,,2.35,,0.47,,GRISCOM,20.052,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.47,0.198387,0
Ukraine,UKR,Agroforestry,,,,50.72,,GRISCOM,57.94,NA,,,NA,,,,,,,,,1.356666667,,,,0,50.72,21.408912,0
United Arab Emirates,ARE,Agroforestry,,,,0.01,,GRISCOM,7.102,NA,,,NA,,,,,,,,,1.356666667,,,,0,0.01,0.004221,0
United Kingdom,GBR,Agroforestry,,,,15.45,,GRISCOM,24.193,NA,,,NA,,,,,,,,,1.356666667,,,,0,15.45,6.521445,0
United Republic of Tanzania,TZA,Agroforestry,,32.81,,13.79,,GRISCOM,88.58,NA,,,NA,,,,,,,,,1.356666667,,,,0,13.79,5.820759,0
United States,USA,Agroforestry,,,,93,,GRISCOM,914.742,NA,,,NA,,,,,,,,,1.356666667,,,,0,93,39.2553,0
Uruguay,URY,Agroforestry,,,,14.31,,GRISCOM,17.502,NA,,,NA,,,,,,,,,1.356666667,,,,0,14.31,6.040251,0
